name,place_id,opening_hours,photos,rating,user_ratings_total,geometry,price_level,types,price_range
Kathmandu Hotel Yambu,ChIJJdq72OIY6zkReUrgSb7zES8,{'open_now': True},"[{'height': 4912, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100065175212226840057"">Kathmandu Hotel Yambu</a>'], 'photo_reference': 'AeeoHcK-fKC7QZvnkuesOLCDErvqLSE7ZVOobyKwGUfinwjrgwEIaGfugabKrHLhf43IPhZ4xoze9jb8I62TqB8F-cibR1Dlb_aC2t938fznIWY77KVlqRwKtfV4l8JLX5v9g8-4u_qkpiIWzK7xipsdOGTbQ_pvXQCk8Hpxr1Kijwn39tqSAYdQKxlXei3Pg7CGuXcRkVH8ZjR9p2dcGAryUTrv2XQ_6xPF0aqqa26wPu8BcSQ6DYprq-jLDyukmtzGopL_YRZ36VNyRiHR2du0TO9Xz5n-lnKk0cx7mth5ulWbnpCly_QLy49Nbq8bgwIUq-hOqhdL4ZI', 'width': 7360}]",4.6,1047.0,"{'location': {'lat': 27.7176771, 'lng': 85.3113607}, 'viewport': {'northeast': {'lat': 27.7190261302915, 'lng': 85.31269558029149}, 'southwest': {'lat': 27.7163281697085, 'lng': 85.30999761970848}}}",,"['indian', 'coffee', 'momo', 'pizza', 'newari']",Mid (Rs. 301–700)
Holy Lodge pvt ltd,ChIJsTG6x_wY6zkRgR9HuvFoKOY,{'open_now': False},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104008256569255814334"">Holy Lodge pvt ltd</a>'], 'photo_reference': 'AeeoHcJi_iRR7cKmCLWLNLsuzVYppPYNJgVmNNJGpqHKcA_7JRFLV4EHjG7NgOK_IK0OJGaNR3Om56FTTVrDBGaVEV81r4aXMdvrxsnZSfF8kHp2tRR_lAjzERBY7dHlsfBdT2HVK5EmndR6-YP5atfDPBwxi_6aF5TK9C60WYc7RU0OvQpDLZPb5pGqMMj-W9IOJbksghetQ7CV3D_pCR-IgxQd6DIkqbzvkerALOd7Pa-NaMOiHn6h_cPNKoWSz5zWmibdFZz9qZlI5dJ_8gfWwIM7nDdxqJ8GQDMaGT7UmPRlMZCcazuonMHdXb9Wi1-NT2vsX64MUrM', 'width': 960}]",3.9,123.0,"{'location': {'lat': 27.7158968, 'lng': 85.3098306}, 'viewport': {'northeast': {'lat': 27.7171902802915, 'lng': 85.31116903029151}, 'southwest': {'lat': 27.7144923197085, 'lng': 85.30847106970849}}}",,"['thakali', 'sekuwa', 'pizza', 'burger', 'noodles']",Mid (Rs. 301–700)
Hotel Mustang Holiday Inn,ChIJ____7_0Y6zkRCpijm3CIBks,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116358810788399750825"">Hotel Mustang Holiday Inn</a>'], 'photo_reference': 'AeeoHcL24eu9VMUKb5XoWAGQva2kGXisPuzTSphCMYHqR5hqpIEy0ECffcL3XVLBIqp3heYLk2Qs-_NLAHFmaazhKGO95NxGCrr8u_XQGRElGWMMilKSTB8es2qYrZRQF378d84tns30EW6JDgZJ5-Ft8bc0w0csmbeWqx0AbgdBk9iGrYIenY3LyA-UaQ7anL-V06fHbfVwitS30sUZKVWOKaODLrrHYSNwVGiqbQNE6hW2ao8v9ZHN75PTbKuAfZCXNw4Ipx1AIae9HrUgbjAPBeWF73ddMzVt6peoXg5CBsDdN1h16-whFSkgNEc4nxLFab6alMVq500', 'width': 5328}]",4.2,59.0,"{'location': {'lat': 27.7131727, 'lng': 85.3133793}, 'viewport': {'northeast': {'lat': 27.7145229302915, 'lng': 85.31471933029151}, 'southwest': {'lat': 27.7118249697085, 'lng': 85.3120213697085}}}",,"['indian', 'coffee', 'momo', 'sekuwa', 'pizza', 'newari', 'burger']",Mid (Rs. 301–700)
Thamel Grand Hotel,ChIJY6o5NuMY6zkR0ztLyOdNpNM,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101658743639451791509"">Thamel Grand Hotel</a>'], 'photo_reference': 'AeeoHcIFar2BcspJC6cssG4DC3PetvUOXQ1vGsyc3-rTgjZbMj-ILEh33_6PzUqsy7ztwp4fY0JH2Tj3jDzwFzIY9LcyH--NCY3Eq88qiEs-8X-4RDG50mkjrLRUDXUGEFyLFH8wTESdrNPGbcdEBRV5s7pBpNtoyTz0iJtRftyV6HvKrBNVQNgza7W7IVbIP27kGDjg1phnMF4EPzFb9bK5SUwKPfNwFhNrIR8nRTvdpDFwKXhNKu35aTy5IQxNhpqkl2jxuQ1SQPv4Jl3vUn9DVhOq_cMR2aT12UeKRqfTFh7gsBhB3xIRGR57pYz3LWBexJLp8-TY91A', 'width': 2048}]",4.0,233.0,"{'location': {'lat': 27.7170826, 'lng': 85.3098029}, 'viewport': {'northeast': {'lat': 27.7184989802915, 'lng': 85.31117433029151}, 'southwest': {'lat': 27.7158010197085, 'lng': 85.30847636970849}}}",,"['coffee', 'thakali', 'momo', 'burger', 'sekuwa', 'newari']",Mid (Rs. 301–700)
Hotel Lily Pvt.Ltd.,ChIJ8WjPyvwY6zkRjqfqrFe6c8M,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101422747015201119732"">Hotel Lily Pvt.Ltd.</a>'], 'photo_reference': 'AeeoHcKp21m5Ldnkz-7jo1Z8QGGh4_1REnBij4VqbuM13i1EbwjueB9e4EaeeQxlXJYVGM9GvbwneQrPpkuc3Qo5ChfBApjr_sGqEIqAY4AsicDv_zU_S_sYi86am_qDIwSLxD-n2EW44e9UCiNzWLEHZMtreCxZSgxVjue9vb1j1N6f9Wv8EIlflQXKpybhBs5KWaD9EDWwxVfkyb2EKt0uMfHfnBkQexOZW8AKRTdR6gmu2s5dfo94F9eynWrtxoYdaR7h5NWwWnflQ6_v7IGcCn27ysKhkgBvY0GT3Kz5XVCkC2QEsMqx279uvXXVvYaxf2DPZgTFU9c', 'width': 5184}]",4.4,309.0,"{'location': {'lat': 27.7167158, 'lng': 85.30984480000001}, 'viewport': {'northeast': {'lat': 27.7180630302915, 'lng': 85.3113660302915}, 'southwest': {'lat': 27.7153650697085, 'lng': 85.30866806970849}}}",,"['indian', 'coffee', 'thakali', 'momo', 'sekuwa', 'burger', 'newari', 'pizza', 'noodles']",Mid (Rs. 301–700)
Hotel Tradition & Spa,ChIJabsZ6vwY6zkRvWpl-tTlOsA,{'open_now': True},"[{'height': 3965, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101864606134071885780"">Hotel Tradition &amp; Spa</a>'], 'photo_reference': 'AeeoHcK4V3qAeAygXM76wPHLlPQjshp453904k0YsLgEEhWlZ6M6yuKjsjoSqKO3Lhf5Pcst8YKBZ__Bb3Y9_dMnOqgDtOiUh5LGsUgE1Bpx3snP_meBNZqlDcp6TLVDH7gc2m24IZYIw95PqkZ4KTL5m4vcr8ldOmE3gu-HnTAvZzVDEsEnWNjQSp-eorDHvsWPJIMqZ9ss_xCnAyVNiyuXNJJT5nl5wRJX3Uy0Zew1gJ0LxrMDWlUe9jOvCtRYRd6a9kAC9T0FfIySDdl2VoH9Go03xa7eZRACV6xTrxsfczjQLweGayCNh2XqhhI5OrAs5B9QF4CiGa0', 'width': 5948}]",3.9,189.0,"{'location': {'lat': 27.7154748, 'lng': 85.3091604}, 'viewport': {'northeast': {'lat': 27.7168211802915, 'lng': 85.3105685802915}, 'southwest': {'lat': 27.7141232197085, 'lng': 85.3078706197085}}}",,"['indian', 'coffee', 'thakali', 'momo', 'burger', 'sekuwa', 'newari', 'noodles']",Mid (Rs. 301–700)
Thamel Boutique Hotel,ChIJTznv1vwY6zkRxUsNG4sfXfA,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112186559353615761068"">Thamel Boutique Hotel</a>'], 'photo_reference': 'AeeoHcKdL4L-iv1Ennv04sDm9QQMXS98nspvQcpnHv2gZlyqfeLFp2f7-jNFUy-I9aJmVK8hvNHJUXBqTD-vwkwELG15AUV08c9xdvoH27qG4uHuqovT2bTIvQFUodDGRjHBu6WDhcRkXb0ONs_eEe0E7HoGeM_YFKATSdw1B-czK7DgMjIZgfvM-zY9VRHDUaZoWzAvB75AyYXzsv2NJb6OSlvgKqQN3UKlpoCsQiXYU8nk2ieNGeNf6wIeIjh3T1AiT8WCbfqfGKu5DJRUDe7iQl_cmrCd0o95tuUnXRSxquUnVRAdcZeIDUaA27lbXAsdKDRTgJuTUOw', 'width': 4000}]",4.7,672.0,"{'location': {'lat': 27.7165232, 'lng': 85.3106119}, 'viewport': {'northeast': {'lat': 27.7178736802915, 'lng': 85.3119614302915}, 'southwest': {'lat': 27.7151757197085, 'lng': 85.3092634697085}}}",,['newari'],Mid (Rs. 301–700)
Hotel Utse,ChIJEdyiyv0Y6zkR9Su7URGSBg8,{'open_now': True},"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108222584821805416582"">Philippe Dubois</a>'], 'photo_reference': 'AeeoHcJMika4xiCnx_hRxSS1CZ4yLXbVhKtSaM76j0Rtj9ng8-3R0Qxq2p5UiGDsEXwie5DqJNbRPktzGJD_aREqguaEBw4pfillr-b7_0uB4wlOiO5BqpUgAZMvkRg-awJapRy2UYt-Kr0lS0mE8vx-XXyiyfAC8s3owbllssLZAUIp8ZlKEMp4ip70xmW9G-HeQuNnOqHgW6GJAcB1eDhseT8JOphci4wsyBjW6TRwSY7-64xP322Le1qRpCqYKlh9y3ntmHIe6vzQPdmTrm8nsVlKIZrui_6n7a7052Qy1A80dHdMRMCwRqZ4xFB4ezVteLWJZ0qrZcjFs03WbuwjNqGYRbqAXW_oYO2-lAJXxaV8q45IPMadWeENTpkoGsS310sTVEkwt7xs2v-8QOo1mLw2fKqv8_1mrW4sMZI2m2wMBEKhGsUkgzs0dpKy9ScxXT0WqbJMljakIu8FUL68ShY6L14J4yiVuL2ooLE0gYjuQJzXbrsiJJ_l8Ui5KS3n8zRK8zLCY-BTUEO0jY8zcIXdHT7X64HZqdRMNKr1NYziaaOSg-X09RrSR-D7oTWCIvHmfiFhRki55uhrDoQzg-g3v0F8cPkeRuvCPkElaVXIThpRL1HzPaQzOJiVyibnmAbZMA', 'width': 4608}]",4.2,245.0,"{'location': {'lat': 27.71223539999999, 'lng': 85.3122154}, 'viewport': {'northeast': {'lat': 27.7135853302915, 'lng': 85.3135256302915}, 'southwest': {'lat': 27.7108873697085, 'lng': 85.31082766970849}}}",,"['indian', 'coffee', 'momo', 'sekuwa', 'pizza']",Mid (Rs. 301–700)
Mandala Hotel Pvt. Ltd,ChIJ71rJwBsZ6zkR6RfNMEDA7AM,{'open_now': True},"[{'height': 629, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101604785257259551079"">Mandala Hotel Pvt. Ltd</a>'], 'photo_reference': 'AeeoHcIPl5FCLEJXVwV15_CZ0hIeUG3w75BRLBdPpfC0Epbj26AiMlo0UQja69VtPwxdPWO60zlJT2WiWWNx8cwbyHSRr9YAzEnP-Iwzeo1C9yJHvDTRdLs7cOubqwB6F9BtCttqK1EtbTmcr_SNAVeC433wvfwAYaiYdyfn-L0__DD-Njp2b20YuZuZmAwokL2B-YiNG3ZQyR2801TSOlMyeFjoUtNVLjxIOuxKcDL0jQ_p2K86Ct39xjlchD4ihR2eBO4zJJLIc9Qssjomk9JuctfUAuec4LV_pCVsZfH2Fm6AYnwtJJ3e28B52RkwUbwD7UK5C2jcffw', 'width': 559}]",3.6,120.0,"{'location': {'lat': 27.7215892, 'lng': 85.3204167}, 'viewport': {'northeast': {'lat': 27.7229729802915, 'lng': 85.32170528029151}, 'southwest': {'lat': 27.7202750197085, 'lng': 85.31900731970849}}}",,"['coffee', 'thakali', 'momo', 'burger', 'pizza', 'newari', 'sekuwa', 'noodles']",Mid (Rs. 301–700)
Best Food Cafe,ChIJL9hU8AcZ6zkRFO32XL0s1E4,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106410583673306578641"">Nidesh Gautam</a>'], 'photo_reference': 'AeeoHcLnp7RJ8pfqcIHljvdR_pdHXHG-dnQVDw9oFBPAKGuhUDmA0H8Qy7tK_JJgfz7xc1mQ9xKuU2DTVOJYJn_LGOPnETWZYzRiHupBtEZH35WJQVfHLDZN_n6cU_N46iLinj8cXCuyEM50a-YUNJYC3w4VfBdUMmCmS356fQRSXKYkBSwM4Zds37VGhxU0nHc5zFUYbfV6hT9ySrQqVKT2psjOQdSZYbOFVsFAqgmCD4OU387-7RxwH34KseQ7ZBUEogrh6fioKGjVhif9BXj1297-i92kczBpR51UaEoqb4heIZIdyjmmui_91oJ_jQSVH14pO2yEtvz5w5eYlbYfJjHLPfHxwbxRiQnUtjxzIkulB2YxgidhqpR2byIhPXbc7f-j-fE0kzs-XIaK8XsEtKw5pP_5v6zNxYmcaf0_p5OG_TWQ9StJqBCAK6Panjd_XjlCaoATZk9DQ1wknoRPRYY1QVxSpradc7ApL4LTKTWpJWs9GH2y4qajDZ1CAMNJDYgemIJUUKCf_3vj9JcEW31sra2cVybbJwvTtuykEZBENH-Xkw5MkQKlUMYeE1O-EKf7-6dZ6-aWqaRQ2wm5kNm4CcGuvSnlc19IzGUe0GtK7es4bqe8WN2-a4bBHTm7-5NSqA', 'width': 4032}]",3.5,74.0,"{'location': {'lat': 27.706653, 'lng': 85.32293539999999}, 'viewport': {'northeast': {'lat': 27.70799923029151, 'lng': 85.32425308029151}, 'southwest': {'lat': 27.7053012697085, 'lng': 85.32155511970849}}}",,"['indian', 'coffee', 'thakali', 'momo', 'sekuwa', 'burger', 'newari', 'noodles']",Mid (Rs. 301–700)
